BTCUSD wss://api.bitfinex.com/ws/2
WS open
Amount,Price,Timestamp
0.1,8091.5,14:41:42
-0.16667571,8091.4,14:41:45
0.19990058,8090.2,14:42:02
1,8090.2,14:42:02
0.052,8090.2,14:42:06
0.006,8090.2,14:42:09
0.16667571,8090.2,14:42:09
0.32732429,8090.2,14:42:09
0.22161776,8090.2,14:42:32
0.02,8090.2,14:42:37
